stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
150050,2787,Kerttula P,,64.887492,25.562817,3,,0,,Europe/Helsinki
188507,1859,Korvensuora P,,65.044415,25.575035,2,,0,,Europe/Helsinki
190428,3338,Zeppelinin ramppi E,,64.905076,25.534263,3,,0,,Europe/Helsinki
120884,2223,Höyhtyä P,,64.997661,25.484183,2,,0,,Europe/Helsinki
101678,1055,Leuvanjoen th P,,65.371166,25.83547,5,,0,,Europe/Helsinki
97699,2827,Tupos th P,,64.86412300000002,25.502785,4,,0,,Europe/Helsinki
120730,2035,Metsotie E,,65.02084000000002,25.535193,2,,0,,Europe/Helsinki
148474,1531,Kellon liikekeskus P,,65.12852,25.357842,3,,0,,Europe/Helsinki
120899,2245,Knuutilankangas E,,64.993103,25.561278,2,,0,,Europe/Helsinki
120766,2074,Erkkola P,,65.015525,25.52842,2,,0,,Europe/Helsinki
152750,1804,Puuperäntie E,,65.05129100000002,25.629218,2,,0,,Europe/Helsinki
152626,1155,Iin keskusta P,,65.322885,25.377759,4,,0,,Europe/Helsinki
307214,1963,Kiulukangas E,,65.02744174302246,25.57394830108656,2,,0,,Europe/Helsinki
98749,2812,Rova arola E,,64.865746,25.87897,4,,0,,Europe/Helsinki
164365,3113,Silmutie E,,65.075572,25.460999,2,,0,,Europe/Helsinki
189655,2667,Savikorpi E,,64.922827,25.496127,3,,0,,Europe/Helsinki
301592,2832,Tupos liikenneympyrä E,,64.863269,25.479628,4,,0,,Europe/Helsinki
120757,2062,Kuparilammintie E,,65.017125,25.543373,2,,0,,Europe/Helsinki
120323,1534,Honkimaa E,,65.12202600000002,25.746164,3,,0,,Europe/Helsinki
97722,1125,Koni th P,,65.333797,25.374683,4,,0,,Europe/Helsinki
307147,3360,Tuhkimonkaarre P,,64.925761,25.558641,3,,0,,Europe/Helsinki
147972,2651,Ollila th P,,64.92662,25.507586,3,,0,,Europe/Helsinki
101554,1779,Pönkänkari P,,65.0596,25.427007,2,,0,,Europe/Helsinki
101717,1145,Juutinen P,,65.321102,25.643181,5,,0,,Europe/Helsinki
150061,2820,Rasila E,,64.866634,25.599415,3,,0,,Europe/Helsinki
101740,1078,Kakko E,,65.351856,25.768029,5,,0,,Europe/Helsinki
101517,1428,Viikki P,,65.167293,25.347847,3,,0,,Europe/Helsinki
184150,3239,Jäähalli P,,65.009097,25.492824,1,,0,,Europe/Helsinki
148156,2660,Riihipellontie P,,64.918236,25.816753,3,,0,,Europe/Helsinki
120721,2024,Yrjänäntie P,,65.02345800000002,25.530465,2,,0,,Europe/Helsinki
171800,2412,Vesalantie E,,64.970997,25.491178,2,,0,,Europe/Helsinki
101221,3078,Vaaranmaa P,,64.762432,25.567284,4,,0,,Europe/Helsinki
190223,2552,Karvolankuja E,,64.949384,25.39564,3,,0,,Europe/Helsinki
191215,3082,Huovila P,,64.838932,25.929945,4,,0,,Europe/Helsinki
101062,2691,Kempeleen yläaste,,64.917046,25.477238,3,,0,,Europe/Helsinki
